M11;M12;M13;M14;M21;M22;M23;M24;M31;M32;M33;M34;M41;M42;M43;M44
-1;-5.69297232205498E-16;-1.22464685259992E-16;-241.9999847;5.69297232205498E-16;-1;1.22464685259754E-16;-52.9999971390001;-1.22464685259992E-16;1.22464685259754E-16;1;-33.00000115;0;0;0;1;
-0.999999922878253;6.8314535908519E-12;3.92738446768775E-04;-242.009970980465;-6.83147106686841E-12;-1;-4.31563593278907E-14;-52.9999971389255;3.92738446768775E-04;-4.58393373355441E-14;0.999999922878253;-32.9999990871411;0;0;0;1;
-0.999999023210978;-2.15477586362758E-09;1.39770422145244E-03;-242.036192720054;2.15477425421227E-09;-1;-2.65733986283233E-12;-52.9999971924729;1.39770422145244E-03;3.5439980421761E-13;0.999999023210978;-32.999980681271;0;0;0;1;
-0.999995837371096;-6.38709112273681E-09;2.88534928228723E-03;-242.075129890036;6.3869573420582E-09;-1;-5.5579826276544E-11;-52.9999974897865;2.88534928228723E-03;-3.71509921354459E-11;0.999995837371096;-32.999890813173;0;0;0;1;
-0.999988969701821;-1.59905518047453E-08;4.69685795927588E-03;-242.122296867277;1.59898576312039E-08;-1;-1.85346554316028E-10;-52.9999981149356;4.69685795927588E-03;-1.10242419805459E-10;0.999988969701822;-32.9997007098164;0;0;0;1;
-0.999977717731453;-2.57555789238001E-08;6.67563035182867E-03;-242.173570091665;2.57527298628638E-08;-0.999999999999999;-5.12744115320816E-10;-52.9999994130872;6.67563035182868E-03;-3.40816985103765E-10;0.999977717731453;-32.9994220195605;0;0;0;1;
-0.999962124340925;-4.13975814334236E-08;8.70344090468175E-03;-242.226879828911;4.13896389340632E-08;-0.999999999999999;-1.09268958311737E-09;-53.0000017834485;8.70344090468179E-03;-7.3241592025051E-10;0.999962124340926;-32.9990160460479;0;0;0;1;
-0.999942384214667;-5.92410541374977E-08;1.07344422809747E-02;-242.279096806617;5.92238095435391E-08;-0.999999999999998;-1.92434965087487E-09;-52.9999996387414;1.07344422809748E-02;-1.28850421275391E-09;0.999942384214669;-32.9985001658936;0;0;0;1;
-0.999918618703351;-8.20857778354831E-08;1.27575848174693E-02;-242.331502277391;8.20494043962256E-08;-0.999999999999997;-3.37452008293175E-09;-52.9999994038825;1.27575848174696E-02;-2.32749322430415E-09;0.999918618703355;-32.9978813609478;0;0;0;1;
-0.999891116793122;-1.09476309911706E-07;1.47565090109988E-02;-242.383772474208;1.09402977460973E-07;-0.999999999999994;-5.77674554986341E-09;-53.0000016722882;1.47565090109994E-02;-4.16171053654967E-09;0.999891116793128;-32.9971594757642;0;0;0;1;
-0.999860680960194;-1.34626871652082E-07;1.66918743644976E-02;-242.434024252598;1.34500156597098E-07;-0.999999999999991;-8.71402962168412E-09;-53.000000998972;1.66918743644986E-02;-6.46775587552038E-09;0.999860680960203;-32.9963611406465;0;0;0;1;
-0.99982881505645;-1.58106247259155E-07;1.85024480215304E-02;-242.480517388623;1.5790282908939E-07;-0.999999999999987;-1.24550414290641E-08;-52.9999977912442;1.85024480215321E-02;-9.53132042582112E-09;0.999828815056463;-32.9955412815522;0;0;0;1;
-0.999797124958686;-1.73351613438365E-07;2.01422174627233E-02;-242.523052424945;1.7325931827079E-07;-0.999999999999985;-6.32726556353458E-09;-52.9999987480094;2.01422174627241E-02;-2.83615505321852E-09;0.999797124958701;-32.9947018002734;0;0;0;1;
-0.999766963057145;-1.76561535872515E-07;2.15874866407108E-02;-242.56120244526;1.76589703694038E-07;-0.999999999999985;-6.01464328806456E-10;-52.9999972184408;2.15874866407106E-02;3.21080370398409E-09;0.99976696305716;-32.9939374749376;0;0;0;1;
-0.99973922956745;-1.74218596228327E-07;2.28357803424932E-02;-242.593254329186;1.74146612598859E-07;-0.999999999999985;-5.14087608128515E-09;-52.999998658754;2.28357803424937E-02;-1.16276170010895E-09;0.999739229567466;-32.9931832507446;0;0;0;1;
-0.999714365896179;-1.59236506505972E-07;2.38995108898637E-02;-242.621139178895;1.59127260858583E-07;-0.999999999999987;-6.4728445970317E-09;-52.9999971116108;2.38995108898644E-02;-2.66793202810217E-09;0.999714365896192;-32.9925662245186;0;0;0;1;
-0.999692475743342;-1.33828549001031E-07;2.47982649016116E-02;-242.644754397918;1.33713921176681E-07;-0.999999999999991;-6.28060467866951E-09;-52.9999979334249;2.47982649016122E-02;-2.9628000020118E-09;0.999692475743351;-32.9920110209071;0;0;0;1;
-0.999673467632435;-1.02022534475404E-07;2.55530450579202E-02;-242.664829888095;1.01698884395396E-07;-0.999999999999995;-1.39653828613656E-08;-52.9999998745047;2.55530450579215E-02;-1.13621065365401E-08;0.99967346763244;-32.9915507122495;0;0;0;1;
-0.999657116824105;-6.02590306371796E-08;2.61848960837078E-02;-242.680648540505;5.98193164976762E-08;-0.999999999999998;-1.75759787341723E-08;-52.9999966279007;2.61848960837088E-02;-1.60035896404744E-08;0.999657116824106;-32.9910645638906;0;0;0;1;
-0.999643052526931;-1.13431108691196E-08;0.026716428178906;-242.694638309134;1.09106324447537E-08;-1;-1.63335062652989E-08;-52.999998922401;2.67164281789062E-02;-1.60361829334145E-08;0.999643052526931;-32.9907266279445;0;0;0;1;
-0.999630747742237;3.73667926022685E-08;2.71729308005935E-02;-242.70637793582;-3.77812990083648E-08;-0.999999999999999;-1.47409780371464E-08;-52.9999996642906;2.71729308005929E-02;-1.57621635212354E-08;0.999630747742238;-32.9903992066872;0;0;0;1;
-0.999619749929472;8.97765492219367E-08;2.75745453440532E-02;-242.717233927979;-9.00655974671774E-08;-0.999999999999996;-9.2404350560577E-09;-52.9999980620215;2.75745453440523E-02;-1.17204392812738E-08;0.999619749929476;-32.9901602949753;0;0;0;1;
-0.999609730507685;1.31324627409589E-07;2.79354018109095E-02;-242.726689141144;-1.31683491056702E-07;-0.999999999999991;-1.10065214022904E-08;-52.9999987118084;2.79354018109078E-02;-1.46808571273028E-08;0.999609730507693;-32.989906966324;0;0;0;1;
-0.999600506642129;1.72428193818835E-07;0.028263529870995;-242.734701988456;-1.72847280461289E-07;-0.999999999999985;-1.23846987118531E-08;-53.0000013025593;2.82635298709925E-02;-1.72650253814164E-08;0.999600506642144;-32.9895757924569;0;0;0;1;
-0.999591973518052;2.07165873400289E-07;2.85637266168761E-02;-242.743295581091;-2.07494066659825E-07;-0.999999999999979;-8.52585479350121E-09;-52.9999994198711;2.85637266168738E-02;-1.44491798136593E-08;0.999591973518073;-32.9894904106407;0;0;0;1;
-0.999584075512497;2.33089811329131E-07;2.88387930012999E-02;-242.749831727018;-2.33478940778852E-07;-0.999999999999973;-1.01259383819884E-08;-52.9999980510726;2.88387930012967E-02;-1.68549775995404E-08;0.999584075512524;-32.9891952093258;0;0;0;1;
-0.999576765748935;2.55610265130433E-07;2.90910531750458E-02;-242.756824804115;-2.56110644775188E-07;-0.999999999999967;-1.34744124069162E-08;-52.9999971008183;2.90910531750414E-02;-2.09192379599229E-08;0.999576765748968;-32.9890870547931;0;0;0;1;
-0.999570000322761;2.74727953934232E-07;2.93225929051433E-02;-242.762913783048;-2.75153002502419E-07;-0.999999999999962;-1.0460632418235E-08;-52.9999964942013;2.93225929051394E-02;-1.85243338286778E-08;0.999570000322799;-32.9889261837716;0;0;0;1;
-0.999563734219156;2.89115831408404E-07;2.95354233721604E-02;-242.768149901081;-2.89667440862364E-07;-0.999999999999958;-1.4397540754411E-08;-53.0000013970312;0.029535423372155;-2.29467101030517E-08;0.999563734219198;-32.9887060759133;0;0;0;1;
-0.999557925339847;2.97935364842479E-07;2.97313620645402E-02;-242.773237697338;-2.98547435140543E-07;-0.999999999999955;-1.61475966390555E-08;-53.0000002011049;2.97313620645341E-02;-2.50166800833623E-08;0.999557925339891;-32.9885644446649;0;0;0;1;
-0.999552531469996;3.04256183695758E-07;2.99121519090644E-02;-242.778059924329;-3.04752216197254E-07;-0.999999999999954;-1.2024058864319E-08;-52.9999990339473;2.99121519090593E-02;-2.11344730618906E-08;0.999552531470042;-32.9884605025663;0;0;0;1;
-0.999547511077574;3.05950443179879E-07;3.00794464465816E-02;-242.781688590616;-3.06537262258682E-07;-0.999999999999953;-1.48976931517086E-08;-52.9999972130034;3.00794464465756E-02;-2.41114232745795E-08;0.999547511077621;-32.98816577556;0;0;0;1;
-0.999538430792539;2.94837082014514E-07;3.03796867775396E-02;-242.789529798385;-2.95437123270838E-07;-0.999999999999956;-1.52627175154806E-08;-52.9999994568993;3.03796867775337E-02;-2.42309599824787E-08;0.999538430792583;-32.9879007230911;0;0;0;1;
